ngramtype	qid	gram	names	attributes	similarentitynames	categories	outgoingentitynames
unigram	INEX_LD-20120111	vietnam	0.002739072978589573	0.01830829871596256	0.013173840317503358	0.02700069086532012	0.022711995045915888
unigram	INEX_LD-20120111	war	0.00692391304587181	0.0517212255590639	0.0499199857532394	0.07498347432784888	0.07264897277138162
unigram	INEX_LD-20120111	movie	0.004198824789379042	0.013311305425551454	0.013713118632218574	0.005213775500960765	0.013984684422745525
bigram	INEX_LD-20120111	vietnam war	0.002480750567472999	0.008291606208393703	0.015399670554962197	0.021353707451049676	0.01081060647058697
bigram	INEX_LD-20120111	war movie	0.0025501155256100545	0.005688293407411354	0.003389935043420559	0.0011818809994182376	9.637829210931967E-4
unigram	INEX_LD-20120112	vietnam	0.002739072978589573	0.01830829871596256	0.013173840317503358	0.02700069086532012	0.022711995045915888
unigram	INEX_LD-20120112	war	0.00692391304587181	0.0517212255590639	0.0499199857532394	0.07498347432784888	0.07264897277138162
unigram	INEX_LD-20120112	facts	6.662713128042666E-4	0.0024829850237934434	6.663293459593787E-4	6.22753401535127E-9	3.1763810808059746E-9
bigram	INEX_LD-20120112	vietnam war	0.002480750567472999	0.008291606208393703	0.015399670554962197	0.021353707451049676	0.01081060647058697
bigram	INEX_LD-20120112	war facts	2.3374544106340617E-4	3.217475708530952E-4	2.4430363224890294E-4	7.307924379504934E-6	5.050342171762623E-6
unigram	INEX_LD-20120121	vietnam	0.002739072978589573	0.01830829871596256	0.013173840317503358	0.02700069086532012	0.022711995045915888
unigram	INEX_LD-20120121	food	0.00410825486995737	0.06922704779195188	0.017225933066322592	0.010328472624895134	0.00954729774072598
unigram	INEX_LD-20120121	recipes	0.0	0.0	0.0	0.0	0.0
bigram	INEX_LD-20120121	vietnam food	0.0014099676663515176	0.002545737450584458	5.802292057270224E-4	0.002346454560533667	6.754222969043046E-4
bigram	INEX_LD-20120121	food recipes	3.4727160479362095E-6	2.2784300856288473E-6	9.907610356284776E-6	3.5164102299034395E-6	2.3385277188451327E-6
unigram	INEX_LD-20120122	vietnamese	1.2182388423817998E-8	0.002517317668134831	2.6724714171164568E-8	6.1699478355527735E-9	3.159530252791085E-9
unigram	INEX_LD-20120122	food	0.00410825486995737	0.06922704779195188	0.017225933066322592	0.010328472624895134	0.00954729774072598
unigram	INEX_LD-20120122	blog	0.002662070935039448	0.0279389601751839	0.015610312336538642	0.005297033760236608	0.006467758367493874
bigram	INEX_LD-20120122	vietnamese food	3.4727160479362095E-6	1.406014433544797E-4	9.907610356284776E-6	3.5164102299034395E-6	2.3385277188451327E-6
bigram	INEX_LD-20120122	food blog	7.338623918099869E-4	0.004786339310708873	9.415146097134172E-4	7.219815025565608E-4	1.2813742364055478E-4
unigram	INEX_LD-20120131	vietnam	0.002739072978589573	0.01830829871596256	0.013173840317503358	0.02700069086532012	0.022711995045915888
unigram	INEX_LD-20120131	travel	0.003324217712921562	0.02637541175468821	0.0113879255029094	0.005275562036192826	0.013668523986668287
unigram	INEX_LD-20120131	national	0.0069865222789712925	0.08607991140130797	0.12294021355636538	0.03895459215893118	0.0738149388192955
unigram	INEX_LD-20120131	park	0.01258658925432037	0.10145576214871448	0.10757945302620263	0.02022168718015458	0.06336423480354433
bigram	INEX_LD-20120131	vietnam travel	1.6392949625524753E-4	0.0012212755257253426	2.556054087344291E-4	3.36951753508126E-4	4.732461747680865E-4
bigram	INEX_LD-20120131	travel national	0.0014060560087091197	0.003150453942343247	0.005935690996828009	0.0011175754922446617	0.0016850653973997415
bigram	INEX_LD-20120131	national park	0.005172130007107171	0.060613521280361564	0.021405262994383514	0.020553714580577552	0.011717297603322364
unigram	INEX_LD-20120132	vietnam	0.002739072978589573	0.01830829871596256	0.013173840317503358	0.02700069086532012	0.022711995045915888
unigram	INEX_LD-20120132	travel	0.003324217712921562	0.02637541175468821	0.0113879255029094	0.005275562036192826	0.013668523986668287
unigram	INEX_LD-20120132	airports	6.659938436521982E-4	6.379687382453733E-4	0.0013276954256285572	6.22753401535127E-9	3.1763810808059746E-9
bigram	INEX_LD-20120132	vietnam travel	1.6392949625524753E-4	0.0012212755257253426	2.556054087344291E-4	3.36951753508126E-4	4.732461747680865E-4
bigram	INEX_LD-20120132	travel airports	6.0534341240979836E-5	6.511254205528452E-5	9.138891150223895E-5	2.648046251575865E-6	2.7105578135984814E-6
unigram	INEX_LD-20120211	guitar	0.004673836029399722	0.06955286492908355	0.01581164635172179	0.004012161886617132	0.021184138293796086
unigram	INEX_LD-20120211	chord	0.003984602298433434	0.019761860800564086	0.01985524844145756	0.0026649247961918823	0.007287896523141334
unigram	INEX_LD-20120211	tuning	0.0	0.0	0.0	0.0	0.0
bigram	INEX_LD-20120211	guitar chord	0.0011776892047549827	0.006609679871658783	0.0030770282098716963	6.812774575378615E-4	0.0018916920217899743
bigram	INEX_LD-20120211	chord tuning	3.429641107696357E-6	1.743624282157797E-6	1.0624368290033614E-5	1.9778052908200125E-6	2.023921022125473E-6
unigram	INEX_LD-20120212	guitar	0.004673836029399722	0.06955286492908355	0.01581164635172179	0.004012161886617132	0.021184138293796086
unigram	INEX_LD-20120212	chord	0.003984602298433434	0.019761860800564086	0.01985524844145756	0.0026649247961918823	0.007287896523141334
unigram	INEX_LD-20120212	minor	0.005484747740407495	0.040595488797134906	0.024036282004577626	0.01965723229164524	0.014642304756622402
bigram	INEX_LD-20120212	guitar chord	0.0011776892047549827	0.006609679871658783	0.0030770282098716963	6.812774575378615E-4	0.0018916920217899743
bigram	INEX_LD-20120212	chord minor	0.001100765532886557	0.014004808241661525	0.002386663891964174	2.0537327053139306E-4	9.520216738400546E-4
unigram	INEX_LD-20120221	guitar	0.004673836029399722	0.06955286492908355	0.01581164635172179	0.004012161886617132	0.021184138293796086
unigram	INEX_LD-20120221	classical	0.002743754851011075	0.013753183620008462	0.02444183814424415	0.009044366265796858	0.007762187178639669
unigram	INEX_LD-20120221	flamenco	0.0019960807103491197	0.013058054788017932	0.003313222810114569	0.0026605580791133894	0.0030377088650255174
bigram	INEX_LD-20120221	guitar classical	0.0013761154444479286	0.014726964315912612	0.005097271792016295	0.0026344629560886112	0.006069274687010557
bigram	INEX_LD-20120221	classical flamenco	1.335218739148975E-4	0.0027838892053879743	1.4509681653566191E-4	7.543644504852126E-4	0.0013931399481875626
unigram	INEX_LD-20120222	guitar	0.004673836029399722	0.06955286492908355	0.01581164635172179	0.004012161886617132	0.021184138293796086
unigram	INEX_LD-20120222	classical	0.002743754851011075	0.013753183620008462	0.02444183814424415	0.009044366265796858	0.007762187178639669
unigram	INEX_LD-20120222	bach	0.005958116188996857	0.013460878928452194	0.027841200384212256	0.0026480609063216655	0.022162730247392164
bigram	INEX_LD-20120222	guitar classical	0.0013761154444479286	0.014726964315912612	0.005097271792016295	0.0026344629560886112	0.006069274687010557
bigram	INEX_LD-20120222	classical bach	2.1605168351013272E-4	0.0019600486801216776	3.596262408119661E-4	0.0012428206284151918	0.0014304203384120453
unigram	INEX_LD-20120231	guitar	0.004673836029399722	0.06955286492908355	0.01581164635172179	0.004012161886617132	0.021184138293796086
unigram	INEX_LD-20120231	origin	0.0027236751114568807	0.03408091863597205	0.0514704373515012	0.006623792574587787	0.014093405281386142
unigram	INEX_LD-20120231	russia	0.004432037930634021	0.03226275535979627	0.09326206081103007	0.02210000286399733	0.05133381540755752
bigram	INEX_LD-20120231	guitar origin	1.676599997939561E-4	0.002722097604247648	5.067278415076122E-4	1.6692393854286438E-4	0.0037009602416059953
bigram	INEX_LD-20120231	origin russia	0.0015221940663615618	0.005635901920158991	0.001488941877678755	0.003458782812206243	0.004209003169812761
unigram	INEX_LD-20120232	guitar	0.004673836029399722	0.06955286492908355	0.01581164635172179	0.004012161886617132	0.021184138293796086
unigram	INEX_LD-20120232	origin	0.0027236751114568807	0.03408091863597205	0.0514704373515012	0.006623792574587787	0.014093405281386142
unigram	INEX_LD-20120232	blues	0.006671603841529663	0.04165897859595287	0.031184237045534417	0.013407084535504776	0.034712608340534946
bigram	INEX_LD-20120232	guitar origin	1.676599997939561E-4	0.002722097604247648	5.067278415076122E-4	1.6692393854286438E-4	0.0037009602416059953
bigram	INEX_LD-20120232	origin blues	7.475933812238983E-4	0.004291172141553413	7.17388542580496E-4	7.471528180653729E-4	0.00244924294145127
unigram	INEX_LD-20120311	tango	0.00331795631345796	0.015545285306303096	0.04135015539534258	0.0038723112427037536	0.008803501380725103
unigram	INEX_LD-20120311	culture	0.0035191718302328137	0.022391577839710772	0.01698049379434243	0.017119385653163847	0.035151245643271836
unigram	INEX_LD-20120311	movies	0.0052942919028713354	0.009124014941565508	0.02475897408528423	0.0025152582901526734	0.0072300767649945575
bigram	INEX_LD-20120311	tango culture	2.5127766591562494E-4	0.0017972404586733435	7.18153385452132E-4	8.075950826711567E-4	4.8325447599874543E-4
bigram	INEX_LD-20120311	culture movies	3.0814759191067693E-4	0.0015388984912051058	6.144369579964747E-4	7.901026428901062E-4	6.794523687702824E-4
unigram	INEX_LD-20120312	tango	0.00331795631345796	0.015545285306303096	0.04135015539534258	0.0038723112427037536	0.008803501380725103
unigram	INEX_LD-20120312	culture	0.0035191718302328137	0.022391577839710772	0.01698049379434243	0.017119385653163847	0.035151245643271836
unigram	INEX_LD-20120312	countries	6.650884056361806E-4	0.003594015160285507	0.0013264726104575955	6.22753401535127E-9	3.1763810808059746E-9
bigram	INEX_LD-20120312	tango culture	2.5127766591562494E-4	0.0017972404586733435	7.18153385452132E-4	8.075950826711567E-4	4.8325447599874543E-4
bigram	INEX_LD-20120312	culture countries	1.234170141222927E-4	2.0970299945878993E-4	1.6341646381260269E-4	4.40493388024273E-6	3.717858821953992E-6
unigram	INEX_LD-20120321	tango	0.00331795631345796	0.015545285306303096	0.04135015539534258	0.0038723112427037536	0.008803501380725103
unigram	INEX_LD-20120321	music	0.007684358754489868	0.09798347677904568	0.027677372211357177	0.014381407587435106	0.055698776164648266
unigram	INEX_LD-20120321	composers	1.2190499201729964E-8	0.0017045717125751386	2.6724714171164568E-8	6.210971424884908E-9	3.1763810808059746E-9
