qid	ngramtype	gram	field	featurename	featurevalue
INEX_LD-20120111	unigram	vietnam	names	baselinetopscore	-5.900135744810228
INEX_LD-20120111	unigram	vietnam	names	fieldlikelihood	-20.550904002642405
INEX_LD-20120111	unigram	vietnam	attributes	baselinetopscore	-4.000400840179946
INEX_LD-20120111	unigram	vietnam	attributes	fieldlikelihood	-20.65812254071267
INEX_LD-20120111	unigram	vietnam	similarentitynames	baselinetopscore	-4.329522209870696
INEX_LD-20120111	unigram	vietnam	similarentitynames	fieldlikelihood	-20.92886281476913
INEX_LD-20120111	unigram	vietnam	categories	baselinetopscore	-3.6118928257007163
INEX_LD-20120111	unigram	vietnam	categories	fieldlikelihood	-19.634515082930672
INEX_LD-20120111	unigram	vietnam	outgoingentitynames	baselinetopscore	-3.7848620779377726
INEX_LD-20120111	unigram	vietnam	outgoingentitynames	fieldlikelihood	-20.27173786408414
INEX_LD-20120111	unigram	war	names	baselinetopscore	-4.972774200113321
INEX_LD-20120111	unigram	war	names	fieldlikelihood	-20.655683859988404
INEX_LD-20120111	unigram	war	attributes	baselinetopscore	-2.961887029321642
INEX_LD-20120111	unigram	war	attributes	fieldlikelihood	-20.580779952623573
INEX_LD-20120111	unigram	war	similarentitynames	baselinetopscore	-2.9973338403128444
INEX_LD-20120111	unigram	war	similarentitynames	fieldlikelihood	-20.752267654418635
INEX_LD-20120111	unigram	war	categories	baselinetopscore	-2.590487532020105
INEX_LD-20120111	unigram	war	categories	fieldlikelihood	-19.403477771406962
INEX_LD-20120111	unigram	war	outgoingentitynames	baselinetopscore	-2.6221160284824405
INEX_LD-20120111	unigram	war	outgoingentitynames	fieldlikelihood	-20.765212097929133
INEX_LD-20120111	unigram	movie	names	baselinetopscore	-5.47295060490012
INEX_LD-20120111	unigram	movie	names	fieldlikelihood	-19.905895822124172
INEX_LD-20120111	unigram	movie	attributes	baselinetopscore	-4.3191415728306755
INEX_LD-20120111	unigram	movie	attributes	fieldlikelihood	-20.099467958638375
INEX_LD-20120111	unigram	movie	similarentitynames	baselinetopscore	-4.289402339924864
INEX_LD-20120111	unigram	movie	similarentitynames	fieldlikelihood	-19.383314198257736
INEX_LD-20120111	unigram	movie	categories	baselinetopscore	-5.256451021367355
INEX_LD-20120111	unigram	movie	categories	fieldlikelihood	-21.771469426507082
INEX_LD-20120111	unigram	movie	outgoingentitynames	baselinetopscore	-4.269792517992504
INEX_LD-20120111	unigram	movie	outgoingentitynames	fieldlikelihood	-22.77196839165238
INEX_LD-20120111	bigram	vietnam war	names	baselinetopscore	-5.99919411641937
INEX_LD-20120111	bigram	vietnam war	names	fieldlikelihood	-21.18697989889654
INEX_LD-20120111	bigram	vietnam war	names	bigramcfratio	-12.588239900098413
INEX_LD-20120111	bigram	vietnam war	attributes	baselinetopscore	-4.792511576082179
INEX_LD-20120111	bigram	vietnam war	attributes	fieldlikelihood	-20.85207360953711
INEX_LD-20120111	bigram	vietnam war	attributes	bigramcfratio	-14.553284321770226
INEX_LD-20120111	bigram	vietnam war	similarentitynames	baselinetopscore	-4.173409162326299
INEX_LD-20120111	bigram	vietnam war	similarentitynames	fieldlikelihood	-21.76354269770133
INEX_LD-20120111	bigram	vietnam war	similarentitynames	bigramcfratio	-11.906660670307994
INEX_LD-20120111	bigram	vietnam war	categories	baselinetopscore	-3.8465299032800817
INEX_LD-20120111	bigram	vietnam war	categories	fieldlikelihood	-19.009553113238848
INEX_LD-20120111	bigram	vietnam war	categories	bigramcfratio	-13.25241703210483
INEX_LD-20120111	bigram	vietnam war	outgoingentitynames	baselinetopscore	-4.52722754616772
INEX_LD-20120111	bigram	vietnam war	outgoingentitynames	fieldlikelihood	-20.76412526934486
INEX_LD-20120111	bigram	vietnam war	outgoingentitynames	bigramcfratio	-13.681269986948063
INEX_LD-20120111	bigram	war movie	names	baselinetopscore	-5.971616616677199
INEX_LD-20120111	bigram	war movie	names	fieldlikelihood	-19.75275286828075
INEX_LD-20120111	bigram	war movie	names	bigramcfratio	-16.89876787655787
INEX_LD-20120111	bigram	war movie	attributes	baselinetopscore	-5.169345004230123
INEX_LD-20120111	bigram	war movie	attributes	fieldlikelihood	-20.053585887523948
INEX_LD-20120111	bigram	war movie	attributes	bigramcfratio	-19.41319800838837
INEX_LD-20120111	bigram	war movie	similarentitynames	baselinetopscore	-5.68694451900623
INEX_LD-20120111	bigram	war movie	similarentitynames	fieldlikelihood	-19.439157075488232
INEX_LD-20120111	bigram	war movie	similarentitynames	bigramcfratio	-16.227570491163306
INEX_LD-20120111	bigram	war movie	categories	baselinetopscore	-6.740648042377667
INEX_LD-20120111	bigram	war movie	categories	fieldlikelihood	-Infinity
INEX_LD-20120111	bigram	war movie	categories	bigramcfratio	-Infinity
INEX_LD-20120111	bigram	war movie	outgoingentitynames	baselinetopscore	-6.94464447429978
INEX_LD-20120111	bigram	war movie	outgoingentitynames	fieldlikelihood	-Infinity
INEX_LD-20120111	bigram	war movie	outgoingentitynames	bigramcfratio	-Infinity
INEX_LD-20120112	unigram	vietnam	names	baselinetopscore	-5.900135744810228
INEX_LD-20120112	unigram	vietnam	names	fieldlikelihood	-20.550904002642405
INEX_LD-20120112	unigram	vietnam	attributes	baselinetopscore	-4.000400840179946
INEX_LD-20120112	unigram	vietnam	attributes	fieldlikelihood	-20.65812254071267
INEX_LD-20120112	unigram	vietnam	similarentitynames	baselinetopscore	-4.329522209870696
INEX_LD-20120112	unigram	vietnam	similarentitynames	fieldlikelihood	-20.92886281476913
INEX_LD-20120112	unigram	vietnam	categories	baselinetopscore	-3.6118928257007163
INEX_LD-20120112	unigram	vietnam	categories	fieldlikelihood	-19.634515082930672
INEX_LD-20120112	unigram	vietnam	outgoingentitynames	baselinetopscore	-3.7848620779377726
INEX_LD-20120112	unigram	vietnam	outgoingentitynames	fieldlikelihood	-20.27173786408414
INEX_LD-20120112	unigram	war	names	baselinetopscore	-4.972774200113321
INEX_LD-20120112	unigram	war	names	fieldlikelihood	-20.655683859988404
INEX_LD-20120112	unigram	war	attributes	baselinetopscore	-2.961887029321642
INEX_LD-20120112	unigram	war	attributes	fieldlikelihood	-20.580779952623573
INEX_LD-20120112	unigram	war	similarentitynames	baselinetopscore	-2.9973338403128444
INEX_LD-20120112	unigram	war	similarentitynames	fieldlikelihood	-20.752267654418635
INEX_LD-20120112	unigram	war	categories	baselinetopscore	-2.590487532020105
INEX_LD-20120112	unigram	war	categories	fieldlikelihood	-19.403477771406962
INEX_LD-20120112	unigram	war	outgoingentitynames	baselinetopscore	-2.6221160284824405
INEX_LD-20120112	unigram	war	outgoingentitynames	fieldlikelihood	-20.765212097929133
INEX_LD-20120112	unigram	fact	names	baselinetopscore	-3.9619743197475112
INEX_LD-20120112	unigram	fact	names	fieldlikelihood	-21.49589026990478
INEX_LD-20120112	unigram	fact	attributes	baselinetopscore	-3.4953437449887046
INEX_LD-20120112	unigram	fact	attributes	fieldlikelihood	-19.911811810768164
INEX_LD-20120112	unigram	fact	similarentitynames	baselinetopscore	-4.504811619651524
INEX_LD-20120112	unigram	fact	similarentitynames	fieldlikelihood	-21.66947833782121
INEX_LD-20120112	unigram	fact	categories	baselinetopscore	-5.947546039796079
INEX_LD-20120112	unigram	fact	categories	fieldlikelihood	-22.399245642883983
INEX_LD-20120112	unigram	fact	outgoingentitynames	baselinetopscore	-5.139946088476106
INEX_LD-20120112	unigram	fact	outgoingentitynames	fieldlikelihood	-23.59441478947534
INEX_LD-20120112	bigram	vietnam war	names	baselinetopscore	-5.99919411641937
INEX_LD-20120112	bigram	vietnam war	names	fieldlikelihood	-21.18697989889654
INEX_LD-20120112	bigram	vietnam war	names	bigramcfratio	-12.588239900098413
INEX_LD-20120112	bigram	vietnam war	attributes	baselinetopscore	-4.792511576082179
INEX_LD-20120112	bigram	vietnam war	attributes	fieldlikelihood	-20.85207360953711
INEX_LD-20120112	bigram	vietnam war	attributes	bigramcfratio	-14.553284321770226
INEX_LD-20120112	bigram	vietnam war	similarentitynames	baselinetopscore	-4.173409162326299
INEX_LD-20120112	bigram	vietnam war	similarentitynames	fieldlikelihood	-21.76354269770133
INEX_LD-20120112	bigram	vietnam war	similarentitynames	bigramcfratio	-11.906660670307994
INEX_LD-20120112	bigram	vietnam war	categories	baselinetopscore	-3.8465299032800817
INEX_LD-20120112	bigram	vietnam war	categories	fieldlikelihood	-19.009553113238848
INEX_LD-20120112	bigram	vietnam war	categories	bigramcfratio	-13.25241703210483
INEX_LD-20120112	bigram	vietnam war	outgoingentitynames	baselinetopscore	-4.52722754616772
INEX_LD-20120112	bigram	vietnam war	outgoingentitynames	fieldlikelihood	-20.76412526934486
INEX_LD-20120112	bigram	vietnam war	outgoingentitynames	bigramcfratio	-13.681269986948063
INEX_LD-20120112	bigram	war fact	names	baselinetopscore	-6.818174785027612
INEX_LD-20120112	bigram	war fact	names	fieldlikelihood	-Infinity
INEX_LD-20120112	bigram	war fact	names	bigramcfratio	-Infinity
INEX_LD-20120112	bigram	war fact	attributes	baselinetopscore	-5.592484101231388
INEX_LD-20120112	bigram	war fact	attributes	fieldlikelihood	-19.86039465849309
INEX_LD-20120112	bigram	war fact	attributes	bigramcfratio	-20.41848566847207
INEX_LD-20120112	bigram	war fact	similarentitynames	baselinetopscore	-7.082942579899395
INEX_LD-20120112	bigram	war fact	similarentitynames	fieldlikelihood	-Infinity
INEX_LD-20120112	bigram	war fact	similarentitynames	bigramcfratio	-Infinity
INEX_LD-20120112	bigram	war fact	categories	baselinetopscore	-6.600927147435545
INEX_LD-20120112	bigram	war fact	categories	fieldlikelihood	-Infinity
INEX_LD-20120112	bigram	war fact	categories	bigramcfratio	-Infinity
INEX_LD-20120112	bigram	war fact	outgoingentitynames	baselinetopscore	-7.1490414577868275
INEX_LD-20120112	bigram	war fact	outgoingentitynames	fieldlikelihood	-Infinity
INEX_LD-20120112	bigram	war fact	outgoingentitynames	bigramcfratio	-Infinity
INEX_LD-20120121	unigram	vietnam	names	baselinetopscore	-5.900135744810228
INEX_LD-20120121	unigram	vietnam	names	fieldlikelihood	-20.550904002642405
INEX_LD-20120121	unigram	vietnam	attributes	baselinetopscore	-4.000400840179946
INEX_LD-20120121	unigram	vietnam	attributes	fieldlikelihood	-20.65812254071267
INEX_LD-20120121	unigram	vietnam	similarentitynames	baselinetopscore	-4.329522209870696
INEX_LD-20120121	unigram	vietnam	similarentitynames	fieldlikelihood	-20.92886281476913
INEX_LD-20120121	unigram	vietnam	categories	baselinetopscore	-3.6118928257007163
INEX_LD-20120121	unigram	vietnam	categories	fieldlikelihood	-19.634515082930672
INEX_LD-20120121	unigram	vietnam	outgoingentitynames	baselinetopscore	-3.7848620779377726
INEX_LD-20120121	unigram	vietnam	outgoingentitynames	fieldlikelihood	-20.27173786408414
INEX_LD-20120121	unigram	food	names	baselinetopscore	-5.4947569464943715
INEX_LD-20120121	unigram	food	names	fieldlikelihood	-20.305152771693614
