INEX_LD-20120111	vietnam		vietnam war movie
INEX_LD-20120111	war		vietnam war movie
INEX_LD-20120111	movie		vietnam war movie
INEX_LD-20120111	vietnam war		vietnam war movie
INEX_LD-20120111	war movie		vietnam war movie
INEX_LD-20120112	vietnam		vietnam war facts
INEX_LD-20120112	war		vietnam war facts
INEX_LD-20120112	fact		vietnam war facts
INEX_LD-20120112	vietnam war		vietnam war facts
INEX_LD-20120112	war fact		vietnam war facts
INEX_LD-20120121	vietnam		vietnam food recipes
INEX_LD-20120121	food		vietnam food recipes
INEX_LD-20120121	recipe		vietnam food recipes
INEX_LD-20120121	vietnam food		vietnam food recipes
INEX_LD-20120121	food recipe		vietnam food recipes
INEX_LD-20120122	viet		vietnamese food blog
INEX_LD-20120122	food		vietnamese food blog
INEX_LD-20120122	blog		vietnamese food blog
INEX_LD-20120122	viet food		vietnamese food blog
INEX_LD-20120122	food blog		vietnamese food blog
INEX_LD-20120131	vietnam		vietnam travel national park
INEX_LD-20120131	travel		vietnam travel national park
INEX_LD-20120131	national		vietnam travel national park
INEX_LD-20120131	park		vietnam travel national park
INEX_LD-20120131	vietnam travel		vietnam travel national park
INEX_LD-20120131	travel national		vietnam travel national park
INEX_LD-20120131	national park		vietnam travel national park
INEX_LD-20120132	vietnam		vietnam travel airports
INEX_LD-20120132	travel		vietnam travel airports
INEX_LD-20120132	airport		vietnam travel airports
INEX_LD-20120132	vietnam travel		vietnam travel airports
INEX_LD-20120132	travel airport		vietnam travel airports
INEX_LD-20120211	guitar		guitar chord tuning
INEX_LD-20120211	chord		guitar chord tuning
INEX_LD-20120211	tune		guitar chord tuning
INEX_LD-20120211	guitar chord		guitar chord tuning
INEX_LD-20120211	chord tune		guitar chord tuning
INEX_LD-20120212	guitar		guitar chord minor
INEX_LD-20120212	chord		guitar chord minor
INEX_LD-20120212	minor		guitar chord minor
INEX_LD-20120212	guitar chord		guitar chord minor
INEX_LD-20120212	chord minor		guitar chord minor
INEX_LD-20120221	guitar		guitar classical flamenco
INEX_LD-20120221	classical		guitar classical flamenco
INEX_LD-20120221	flamenco		guitar classical flamenco
INEX_LD-20120221	guitar classical		guitar classical flamenco
INEX_LD-20120221	classical flamenco		guitar classical flamenco
INEX_LD-20120222	guitar		guitar classical bach
INEX_LD-20120222	classical		guitar classical bach
INEX_LD-20120222	bach		guitar classical bach
INEX_LD-20120222	guitar classical		guitar classical bach
INEX_LD-20120222	classical bach		guitar classical bach
INEX_LD-20120231	guitar		guitar origin Russia
INEX_LD-20120231	origin		guitar origin Russia
INEX_LD-20120231	russia		guitar origin Russia
INEX_LD-20120231	guitar origin		guitar origin Russia
INEX_LD-20120231	origin russia		guitar origin Russia
INEX_LD-20120232	guitar		guitar origin blues
INEX_LD-20120232	origin		guitar origin blues
INEX_LD-20120232	blues		guitar origin blues
INEX_LD-20120232	guitar origin		guitar origin blues
INEX_LD-20120232	origin blues		guitar origin blues
INEX_LD-20120311	tango		tango culture movies
INEX_LD-20120311	culture		tango culture movies
INEX_LD-20120311	movies		tango culture movies
INEX_LD-20120311	tango culture		tango culture movies
INEX_LD-20120311	culture movies		tango culture movies
INEX_LD-20120312	tango		tango culture countries
INEX_LD-20120312	culture		tango culture countries
INEX_LD-20120312	country		tango culture countries
INEX_LD-20120312	tango culture		tango culture countries
INEX_LD-20120312	culture country		tango culture countries
INEX_LD-20120321	tango		tango music  composers
INEX_LD-20120321	music		tango music  composers
INEX_LD-20120321	composer		tango music  composers
INEX_LD-20120321	tango music		tango music  composers
INEX_LD-20120321	music composer		tango music  composers
INEX_LD-20120322	tango		tango music instruments
INEX_LD-20120322	music		tango music instruments
INEX_LD-20120322	instrument		tango music instruments
INEX_LD-20120322	tango music		tango music instruments
INEX_LD-20120322	music instrument		tango music instruments
INEX_LD-20120331	tango		tango dance styles
INEX_LD-20120331	dance		tango dance styles
INEX_LD-20120331	style		tango dance styles
INEX_LD-20120331	tango dance		tango dance styles
INEX_LD-20120331	dance style		tango dance styles
INEX_LD-20120332	tango		tango dance history
INEX_LD-20120332	dance		tango dance history
INEX_LD-20120332	history		tango dance history
INEX_LD-20120332	tango dance		tango dance history
INEX_LD-20120332	dance history		tango dance history
INEX_LD-20120411	bicycle		bicycle sport races
INEX_LD-20120411	sport		bicycle sport races
INEX_LD-20120411	races		bicycle sport races
INEX_LD-20120411	bicycle sport		bicycle sport races
INEX_LD-20120411	sport races		bicycle sport races
INEX_LD-20120412	bicycle		bicycle sport disciplines
INEX_LD-20120412	sport		bicycle sport disciplines
